#wavelength, flux
7.319000000000000000e+03,-1.060000000000000041e-19
7.343000000000000000e+03,-9.054000000000000366e-20
7.367000000000000000e+03,-1.616999999999999875e-20
7.391000000000000000e+03,-2.122000000000000089e-20
7.415000000000000000e+03,8.039000000000000374e-20
7.439000000000000000e+03,-5.928999999999999842e-21
7.463000000000000000e+03,1.056999999999999942e-19
7.487000000000000000e+03,-1.778999999999999896e-20
7.511000000000000000e+03,-5.576000000000000220e-20
7.535000000000000000e+03,-3.806000000000000141e-21
7.559000000000000000e+03,-1.982999999999999868e-20
7.583000000000000000e+03,-1.201999999999999940e-19
7.607000000000000000e+03,-9.473000000000000554e-20
7.631000000000000000e+03,1.326999999999999997e-19
7.655000000000000000e+03,1.489000000000000079e-19
7.679000000000000000e+03,2.402000000000000055e-20
7.703000000000000000e+03,-1.008000000000000000e-20
7.727000000000000000e+03,1.346999999999999939e-20
7.751000000000000000e+03,-4.964000000000000005e-20
7.775000000000000000e+03,-7.482999999999999491e-20
7.799000000000000000e+03,-2.529000000000000118e-20
7.823000000000000000e+03,2.547999999999999986e-22
7.847000000000000000e+03,7.150000000000000232e-20
7.871000000000000000e+03,7.302000000000000223e-20
7.895000000000000000e+03,2.913000000000000047e-20
7.919000000000000000e+03,3.986999999999999710e-20
7.943000000000000000e+03,-4.648000000000000017e-21
7.967000000000000000e+03,1.409999999999999864e-20
7.991000000000000000e+03,1.025999999999999996e-19
8.015000000000000000e+03,-1.019000000000000004e-19
8.039000000000000000e+03,-4.547000000000000245e-20
8.063000000000000000e+03,-1.795999999999999919e-20
8.087000000000000000e+03,2.664000000000000086e-20
8.111000000000000000e+03,-5.972999999999999918e-20
8.135000000000000000e+03,-7.176999999999999684e-20
8.159000000000000000e+03,7.029000000000000549e-20
8.183000000000000000e+03,8.677000000000000730e-21
8.207000000000000000e+03,5.618000000000000170e-20
8.231000000000000000e+03,4.084000000000000282e-20
8.255000000000000000e+03,-5.368000000000000297e-20
8.279000000000000000e+03,-3.666000000000000007e-20
8.303000000000000000e+03,9.999999999999999752e-20
8.327000000000000000e+03,-1.766000000000000127e-20
8.351000000000000000e+03,4.891999999999999661e-21
8.375000000000000000e+03,-4.632999999999999820e-21
8.399000000000000000e+03,6.650000000000000485e-20
8.423000000000000000e+03,-1.142000000000000115e-19
8.447000000000000000e+03,-3.072999999999999942e-20
8.471000000000000000e+03,-5.018000000000000113e-20
8.495000000000000000e+03,1.118000000000000041e-19
8.519000000000000000e+03,1.081000000000000016e-19
8.543000000000000000e+03,7.466999999999999682e-20
8.567000000000000000e+03,-4.534999999999999636e-21
8.591000000000000000e+03,-4.440999999999999856e-20
8.615000000000000000e+03,-1.758999999999999985e-21
8.639000000000000000e+03,-4.672000000000000182e-20
8.663000000000000000e+03,-5.518000000000000461e-20
8.687000000000000000e+03,6.327999999999999666e-20
8.711000000000000000e+03,5.136999999999999971e-20
8.735000000000000000e+03,7.160000000000000564e-20
8.759000000000000000e+03,6.266999999999999567e-20
8.783000000000000000e+03,1.192999999999999882e-19
8.807000000000000000e+03,1.039999999999999979e-19
8.831000000000000000e+03,-4.701000000000000061e-20
8.855000000000000000e+03,1.393000000000000142e-20
8.879000000000000000e+03,-2.620999999999999923e-20
8.903000000000000000e+03,4.463000000000000345e-21
8.927000000000000000e+03,2.509999999999999969e-20
8.951000000000000000e+03,3.277000000000000214e-20
8.975000000000000000e+03,-7.114000000000000361e-21
8.999000000000000000e+03,-5.843000000000000417e-20
9.023000000000000000e+03,2.493000000000000172e-21
9.047000000000000000e+03,8.670999999999999448e-20
9.071000000000000000e+03,-3.184999999999999808e-20
9.095000000000000000e+03,-1.225000000000000042e-20
9.119000000000000000e+03,-1.330000000000000067e-20
9.143000000000000000e+03,-7.453999999999999310e-21
9.167000000000000000e+03,-1.998000000000000065e-20
9.191000000000000000e+03,6.876000000000000044e-20
9.215000000000000000e+03,1.470999999999999963e-20
9.239000000000000000e+03,-9.859999999999999920e-20
9.263000000000000000e+03,3.326999999999999918e-21
9.287000000000000000e+03,1.133000000000000057e-19
9.311000000000000000e+03,7.985000000000000267e-20
9.335000000000000000e+03,-1.116999999999999977e-20
9.359000000000000000e+03,-9.632000000000000536e-20
9.383000000000000000e+03,-6.990000000000000036e-21
9.407000000000000000e+03,-4.523999999999999843e-20
9.431000000000000000e+03,-4.309999999999999840e-20
9.455000000000000000e+03,1.477999999999999955e-20
9.479000000000000000e+03,-8.204999999999999445e-21
9.503000000000000000e+03,2.814000000000000251e-20
9.527000000000000000e+03,-3.995000000000000216e-20
9.551000000000000000e+03,-5.035999999999999747e-20
9.575000000000000000e+03,-6.287000000000000231e-20
9.599000000000000000e+03,2.471999999999999972e-20
9.623000000000000000e+03,-3.783000000000000040e-20
9.647000000000000000e+03,1.051000000000000013e-20
9.671000000000000000e+03,-3.270000000000000222e-20
9.695000000000000000e+03,3.334999999999999973e-20
9.719000000000000000e+03,9.324999999999999613e-21
9.743000000000000000e+03,-5.536999999999999407e-20
9.767000000000000000e+03,2.901999999999999802e-20
9.791000000000000000e+03,8.385999999999999616e-20
9.815000000000000000e+03,1.373000000000000080e-20
9.839000000000000000e+03,3.153999999999999877e-21
9.863000000000000000e+03,8.362000000000000505e-20
9.887000000000000000e+03,7.525999999999999541e-22
9.911000000000000000e+03,-3.921999999999999960e-20
9.935000000000000000e+03,1.040999999999999982e-20
9.959000000000000000e+03,8.268000000000000273e-20
9.983000000000000000e+03,2.385000000000000213e-19
1.000700000000000000e+04,9.568000000000000096e-20
1.003100000000000000e+04,7.227000000000000742e-21
